Year,month,sun_hr
1899,1,75.00000000000001
1899,2,99.69999999999999
1899,3,148.3
1899,4,124.69999999999997
1899,5,193.99999999999997
1899,6,237.50000000000009
1899,7,257.7
1899,8,257.29999999999995
1899,9,171.2
1899,10,138.2
1899,11,52.50000000000001
1899,12,39.10000000000001
1900,1,39.3
1900,2,63.0
1900,3,93.2
1900,4,189.29999999999998
1900,5,174.39999999999995
1900,6,185.2
1900,7,282.3
1900,8,190.4
1900,9,170.3
1900,10,135.0
1900,11,45.1
1900,12,39.900000000000006
1901,1,50.900000000000006
1901,2,45.300000000000004
1901,3,81.09999999999998
1901,4,207.6
1901,5,237.1
1901,6,252.8
1901,7,239.9
1901,8,238.2
1901,9,123.49999999999999
1901,10,100.30000000000001
1901,11,81.39999999999998
1901,12,48.099999999999994
1902,1,59.0
1902,2,59.9
1902,3,97.6
1902,4,161.6
1902,5,172.70000000000002
1902,6,182.1
1902,7,193.5
1902,8,143.29999999999998
1902,9,168.00000000000003
1902,10,69.3
1902,11,48.99999999999999
1902,12,39.49999999999999
1903,1,54.400000000000006
1903,2,83.9
1903,3,129.7
1903,4,140.0
1903,5,174.29999999999995
1903,6,176.49999999999994
1903,7,183.79999999999998
1903,8,188.2
1903,9,150.89999999999998
1903,10,81.69999999999999
1903,11,55.800000000000004
1903,12,23.3
1904,1,44.99999999999999
1904,2,54.49999999999999
1904,3,85.30000000000001
1904,4,170.90000000000003
1904,5,149.70000000000002
1904,6,216.40000000000003
1904,7,268.7
1904,8,244.29999999999998
1904,9,175.4
1904,10,104.0
1904,11,67.4
1904,12,41.699999999999996
1905,1,83.0
1905,2,77.79999999999998
1905,3,125.19999999999999
1905,4,99.9
1905,5,243.39999999999998
1905,6,168.6
1905,7,264.0
1905,8,179.20000000000002
1905,9,128.5
1905,10,113.10000000000001
1905,11,59.300000000000004
1905,12,30.099999999999998
1906,1,74.30000000000001
1906,2,84.09999999999998
1906,3,122.0
1906,4,225.59999999999997
1906,5,150.49999999999997
1906,6,239.1
1906,7,271.00000000000006
1906,8,252.79999999999993
1906,9,205.4
1906,10,94.9
1906,11,45.89999999999999
1906,12,59.400000000000006
1907,1,66.0
1907,2,84.7
1907,3,205.69999999999996
1907,4,142.59999999999997
1907,5,163.70000000000005
1907,6,159.49999999999997
1907,7,169.9
1907,8,173.79999999999995
1907,9,184.6
1907,10,96.50000000000001
1907,11,57.49999999999999
1907,12,45.5
1908,1,66.00000000000001
1908,2,67.99999999999999
1908,3,113.80000000000001
1908,4,145.20000000000002
1908,5,197.7
1908,6,250.19999999999996
1908,7,204.29999999999998
1908,8,201.39999999999998
1908,9,157.29999999999998
1908,10,119.40000000000002
1908,11,77.5
1908,12,29.6
1909,1,75.39999999999999
1909,2,92.50000000000001
1909,3,68.59999999999998
1909,4,236.5
1909,5,296.1
1909,6,115.2
1909,7,192.7
1909,8,224.69999999999996
1909,9,108.4
1909,10,85.89999999999999
1909,11,89.89999999999999
1909,12,58.79999999999998
1910,1,73.50000000000001
1910,2,79.30000000000001
1910,3,158.1
1910,4,116.0
1910,5,198.49999999999994
1910,6,185.7
1910,7,122.29999999999998
1910,8,151.79999999999998
1910,9,116.79999999999998
1910,10,61.7
1910,11,85.70000000000002
1910,12,29.1
1911,1,64.3
1911,2,76.00000000000001
1911,3,84.7
1911,4,163.1
1911,5,211.00000000000003
1911,6,200.89999999999998
1911,7,314.9
1911,8,226.59999999999997
