year,month,monthly_rainfall
2001,1,76.10000000000001
2002,1,69.39999999999999
2003,1,96.00000000000001
2004,1,90.00000000000001
2005,1,33.8
2006,1,29.199999999999996
2007,1,91.60000000000001
2008,1,103.2
2009,1,70.4
2010,1,47.5
2011,1,84.6
2012,1,57.99999999999999
2013,1,62.8
2014,1,176.29999999999998
2015,1,82.4
2016,1,92.19999999999999
2017,1,70.10000000000001
2018,1,76.1
2019,1,34.8
2020,1,79.80000000000004
2021,1,113.60000000000001
2022,1,23.399999999999995
2023,1,79.3
2024,1,72.30000000000001
1853,2,
1854,2,16.7
1855,2,17.1
1856,2,25.000000000000004
1857,2,9.1
1858,2,16.4
1859,2,44.199999999999996
1860,2,25.599999999999998
1861,2,50.5
1862,2,12.1
1863,2,15.2
1864,2,16.299999999999997
1865,2,39.9
1866,2,73.9
1867,2,44.4
1868,2,34.1
1869,2,57.50000000000001
1870,2,48.4
1871,2,41.4
1872,2,34.8
1873,2,28.8
1874,2,44.800000000000004
1875,2,30.099999999999998
1876,2,77.69999999999999
1877,2,53.5
1878,2,46.2
1879,2,96.6
1880,2,73.01999999999998
1881,2,84.57
1882,2,50.46
1883,2,108.75
1884,2,35.14999999999999
1885,2,72.13999999999999
1886,2,14.020000000000003
1887,2,22.94
1888,2,22.470000000000006
1889,2,45.76999999999999
1890,2,19.049999999999997
1891,2,0.93
1892,2,33.11000000000001
1893,2,73.22000000000001
1894,2,48.0
1895,2,4.53
1896,2,14.36
1897,2,69.60000000000001
1898,2,25.72
1899,2,59.15000000000003
1900,2,122.49000000000002
1901,2,30.29
1902,2,31.62
1903,2,26.630000000000003
1904,2,84.54
1905,2,23.979999999999997
1906,2,57.970000000000006
1907,2,36.879999999999995
1908,2,33.67
1909,2,9.400000000000002
1910,2,92.54
1911,2,45.26
1912,2,51.0
1913,2,24.209999999999994
1914,2,83.17
1915,2,106.63000000000001
1916,2,90.60000000000001
1917,2,21.4
1918,2,26.4
1919,2,71.69999999999999
1920,2,12.5
1921,2,4.799999999999999
1922,2,59.60000000000001
1923,2,96.39999999999999
1924,2,15.5
1925,2,95.10000000000001
1926,2,59.099999999999994
1927,2,93.10000000000001
1928,2,46.6
1929,2,18.7
1930,2,19.200000000000003
1931,2,43.00000000000001
1932,2,4.2
1933,2,45.9
1934,2,11.5
1935,2,67.30000000000001
1936,2,54.0
1937,2,95.50000000000001
1938,2,13.200000000000003
1939,2,19.900000000000002
1940,2,40.60000000000001
1941,2,56.59999999999999
1942,2,20.0
1943,2,27.199999999999996
1944,2,25.5
1945,2,49.6
1946,2,64.3
1947,2,32.9
1948,2,27.099999999999998
1949,2,34.0
1950,2,116.59999999999998
1951,2,118.69999999999999
1952,2,16.7
1953,2,55.2
1954,2,57.199999999999996
1955,2,57.39999999999999
1956,2,15.200000000000001
1957,2,76.3
1958,2,77.49999999999999
1959,2,1.3
1960,2,62.2
1961,2,60.8
1962,2,20.300000000000004
1963,2,19.7
1964,2,25.5
1965,2,19.6
1966,2,100.3
1967,2,61.099999999999994
