year,month,monthly_air_temp
1890,3,5.506451612903225
1891,3,4.496774193548387
1892,3,2.420967741935484
1893,3,6.9967741935483865
1894,3,6.5516129032258075
1895,3,5.416129032258063
1896,3,6.9080645161290315
1897,3,6.733870967741935
1898,3,3.9903225806451608
1899,3,4.309677419354839
1900,3,3.3048387096774205
1901,3,3.430645161290321
1902,3,6.411290322580642
1903,3,6.932258064516128
1904,3,4.006451612903226
1905,3,6.699999999999999
1906,3,4.811290322580646
1907,3,5.854838709677418
1908,3,4.05
1909,3,3.5016129032258068
1910,3,5.440322580645162
1911,3,4.967741935483871
1912,3,7.246774193548387
1913,3,6.409677419354839
1914,3,5.929032258064516
1915,3,4.485483870967744
1916,3,2.982258064516129
1917,3,2.3161290322580648
1918,3,5.337096774193547
1919,3,3.62258064516129
1920,3,6.880645161290322
1921,3,6.748387096774193
1922,3,4.3193548387096765
1923,3,5.780645161290323
1924,3,3.9241935483870964
1925,3,4.240322580645162
1926,3,6.116129032258065
1927,3,6.896774193548386
1928,3,5.488709677419355
1929,3,5.93225806451613
1930,3,4.982258064516129
1931,3,3.9064516129032256
1932,3,4.114516129032257
1933,3,7.077419354838709
1934,3,4.616129032258064
1935,3,5.95483870967742
1936,3,6.693548387096774
1937,3,3.20483870967742
1938,3,8.667741935483871
1939,3,4.977419354838709
1940,3,5.37741935483871
1941,3,4.732258064516128
1942,3,4.588709677419355
1943,3,6.232258064516128
1944,3,4.485483870967743
1945,3,7.530645161290321
1946,3,4.359677419354839
1947,3,3.7419354838709675
1948,3,8.003225806451614
1949,3,4.337096774193548
1950,3,6.969354838709678
1951,3,3.9435483870967745
1952,3,6.127419354838709
1953,3,5.441935483870968
1954,3,5.512903225806451
1955,3,2.7290322580645165
1956,3,5.791935483870968
1957,3,8.899999999999999
1958,3,3.437096774193548
1959,3,6.690322580645161
1960,3,5.798387096774193
1961,3,7.48225806451613
1962,3,2.214516129032258
1963,3,5.467741935483871
1964,3,3.5225806451612898
1965,3,5.011290322580645
1966,3,5.653225806451614
1967,3,6.9387096774193555
1968,3,6.230645161290322
1969,3,3.3306451612903225
1970,3,2.4596774193548385
1971,3,4.433870967741935
1972,3,6.387096774193548
1973,3,5.727419354838712
1974,3,5.443548387096774
1975,3,4.340322580645162
1976,3,4.558064516129032
1977,3,6.49193548387097
1978,3,6.467741935483871
1979,3,4.335483870967742
1980,3,4.343548387096775
1981,3,7.67741935483871
1982,3,5.679032258064517
1983,3,5.891935483870967
1984,3,4.432258064516129
1985,3,4.245161290322581
1986,3,4.616129032258064
1987,3,3.5032258064516135
1988,3,6.003225806451614
1989,3,7.543548387096774
1990,3,7.738709677419356
1991,3,7.5048387096774185
1992,3,7.275806451612904
1993,3,6.309677419354837
1994,3,7.5596774193548395
1995,3,5.264516129032258
1996,3,3.924193548387097
1997,3,8.101612903225808
1998,3,7.224193548387096
1999,3,7.262903225806451
2000,3,7.170967741935484
2001,3,5.395161290322579
2002,3,7.356451612903227
2003,3,7.283870967741935
2004,3,6.1580645161290315
2005,3,6.604838709677419
2006,3,4.714516129032258
2007,3,7.00967741935484
2008,3,5.903225806451613
2009,3,6.872580645161291
2010,3,6.175516129032258
2011,3,6.546661290322581
2012,3,7.949403225806454
2013,3,2.5120322580645156
2014,3,8.066870967741934
2015,3,6.551758064516129
